chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
11	44285000	44290000	11	44610000	44615000	0,0,0	2.5871356	0.93324846	1.7893044	0.60153145	1.0036303	2.1723642	0.3656256	2.707059
11	19935000	19940000	11	20615000	20620000	0,0,0	3.5328298	1.0	2.4029045	0.94220626	1.2906045	2.687708	0.5100411	3.5252247
11	31335000	31340000	11	32180000	32185000	0,0,0	2.6662433	0.99130833	1.4538832	2.1397464	2.3019798	2.8438828	0.8617213	4.7458797
11	555000	560000	11	720000	725000	0,0,0	2.434232	0.9534582	1.9745389	0.4945394	0.65792507	2.6281316	0.33345878	3.0677226
11	88105000	88110000	11	88550000	88555000	0,0,0	2.8956878	0.99447066	1.782963	1.5539842	2.3441336	3.8169088	0.7569492	5.1982284
11	134365000	134370000	11	134710000	134715000	0,0,0	2.230251	0.9493783	1.3592057	1.0497005	1.2959399	2.0506172	0.46034083	2.9836843
11	63475000	63480000	11	63630000	63635000	0,0,0	4.105818	0.99500996	2.5607934	1.5438519	2.344822	3.928543	0.800269	5.3008556
11	110205000	110210000	11	111425000	111430000	0,0,0	2.729187	0.9847302	1.7675244	1.0392525	1.7830113	3.2585292	0.95901763	4.182309
11	69295000	69300000	11	69440000	69445000	0,0,0	2.401159	0.9636464	1.7720166	0.6417145	1.0362258	2.7443938	0.35484955	3.3148067
11	128030000	128035000	11	128640000	128645000	0,0,0	3.4240136	1.0	1.8046262	1.487447	1.7189087	2.0102797	0.7201139	3.332455
11	123640000	123645000	11	123705000	123710000	0,0,0	2.8488395	1.0	1.8071489	0.77727765	1.1584382	2.0169146	0.31120712	2.707828
11	89095000	89100000	11	89730000	89735000	0,0,0	2.896426	0.9708796	1.4804518	1.7364823	1.833285	1.9931442	0.82718956	3.536684
11	44555000	44560000	11	44905000	44910000	0,0,0	2.9638329	0.9692697	2.367998	0.51408625	0.83698654	3.0259013	0.40640488	3.4828668
11	37650000	37655000	11	38795000	38800000	0,0,0	3.2041028	0.99500865	1.6743014	3.4103699	3.8399355	4.4015293	1.7763054	7.432969
11	65125000	65130000	11	65175000	65180000	0,0,0	2.1508324	0.9592929	1.6859645	0.5643049	0.7990867	2.7000806	0.31203038	3.2016852
11	20650000	20655000	11	22305000	22310000	0,0,0	3.0171685	0.9880821	2.1067226	1.6110327	2.2293973	5.0047956	1.2089888	6.4368243
11	95830000	95835000	11	96420000	96425000	0,0,0	4.595474	0.9995419	3.0558481	2.3966029	2.8268948	5.5589037	1.0965997	7.689217
11	27295000	27300000	11	27480000	27485000	0,0,0	3.17743	0.9665586	2.1598868	0.9965031	1.2021841	2.5125318	0.46526867	3.3983123
11	131060000	131065000	11	131505000	131510000	0,0,0	3.1214254	0.985549	1.8377193	1.3797498	2.0330467	3.0109859	0.5759313	4.23743
11	43885000	43890000	11	44035000	44040000	0,0,0	3.9521465	0.98870957	2.5929296	1.2912912	1.7640775	3.3364518	0.5455382	4.4842663
11	85595000	85600000	11	85840000	85845000	0,0,0	3.2559173	1.0	2.2600076	0.8171215	1.0095062	2.2407575	0.3169588	2.9670875
