chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
11	96460000	96465000	11	100925000	100930000	0,0,0	3.259618	0.99618304	1.6785296	2.6431246	2.8990695	3.2194374	1.0926766	5.5688815
11	72480000	72485000	11	72680000	72685000	0,0,0	4.682367	1.0	3.256495	1.0816535	1.3461896	3.0044184	0.45520923	3.9658883
11	95540000	95545000	11	95705000	95710000	0,0,0	2.0766263	0.94120026	1.3804997	0.8364874	1.0661061	2.0903676	0.41169593	2.8339121
11	62340000	62345000	11	62375000	62380000	0,0,0	2.124074	1.0	1.4560065	0.56275195	0.7079681	1.5129278	0.34007102	2.0131516
11	63475000	63480000	11	63630000	63635000	0,0,0	4.2606525	0.9958146	2.8027132	1.4407754	2.207839	4.1960416	0.63655233	5.476731
11	107570000	107575000	11	107685000	107690000	0,0,0	3.0714686	1.0	2.1901355	0.7355553	0.90805244	2.1918054	0.28883842	2.8456323
11	12955000	12960000	11	13340000	13345000	0,0,0	3.1060581	0.9764501	2.0803995	0.8955271	1.4865696	2.952997	0.3220182	3.749021
11	90250000	90255000	11	93215000	93220000	0,0,0	3.171006	0.9986738	1.818157	3.8275328	4.0330615	5.518742	1.5814902	8.920993
11	114340000	114345000	11	114760000	114765000	0,0,0	3.6608949	0.99365747	2.5256946	1.4161276	1.7440555	3.8022184	0.6170991	5.0609984
11	123160000	123165000	11	123235000	123240000	0,0,0	1.9070201	0.9230122	1.6605597	0.32779226	0.3539412	2.273003	0.15026325	2.5643742
11	94320000	94325000	11	94500000	94505000	0,0,0	2.980973	1.0	1.958765	0.74287605	1.081066	2.050582	0.33123246	2.7109163
11	69295000	69300000	11	69440000	69445000	0,0,0	2.6527364	0.9601655	1.9016724	0.6271397	1.112403	2.6658983	0.4319518	3.223356
11	18240000	18245000	11	18730000	18735000	0,0,0	2.3022492	0.9815714	1.5028365	1.4255848	1.4542903	2.727077	0.6081082	3.9942634
11	118195000	118200000	11	118290000	118295000	0,0,0	3.5684803	0.99206907	2.1462224	1.5491343	2.237988	3.4604807	0.6717963	4.837489
11	117425000	117430000	11	118050000	118055000	0,0,0	3.2619653	0.9650867	2.0782452	1.197958	1.3034675	2.2903829	0.5127103	3.3552344
11	86450000	86455000	11	86745000	86750000	0,0,0	2.3463302	0.960751	1.7118406	0.6010853	1.0676725	2.7038672	0.4699678	3.2381654
11	44555000	44560000	11	44900000	44905000	0,0,0	3.7068841	0.9873383	2.5499744	1.2929074	1.484407	3.220378	0.81786543	4.369629
11	75020000	75025000	11	75205000	75210000	0,0,0	3.1624126	0.98776126	2.1992495	0.805732	1.6927391	3.687397	0.42524064	4.4036036
11	123640000	123645000	11	123705000	123710000	0,0,0	3.2530158	0.96541107	2.1515675	0.91834116	1.32086	2.548267	0.4543835	3.3645704
